PERMNO,date,NCUSIP,TICKER,PERMCO,NWPERM,PRC,VOL,RET,SHROUT
14593,2006-01-03,03783310,AAPL,7,,74.75000,28860069,0.039783,845617
14593,2006-01-04,03783310,AAPL,7,,74.97000,22261455,0.002943,845617
14593,2006-01-05,03783310,AAPL,7,,74.38000,16102505,-0.007870,845617
14593,2006-01-06,03783310,AAPL,7,,76.30000,25206143,0.025813,845617
14593,2006-01-09,03783310,AAPL,7,,76.05000,24160471,-0.003277,845617
14593,2006-01-10,03783310,AAPL,7,,80.86000,81629888,0.063248,845617
14593,2006-01-11,03783310,AAPL,7,,83.90000,53512928,0.037596,845617
14593,2006-01-12,03783310,AAPL,7,,84.29100,46006731,0.004660,845617
14593,2006-01-13,03783310,AAPL,7,,85.58990,27897420,0.015410,845617
14593,2006-01-17,03783310,AAPL,7,,84.71010,29887895,-0.010279,845617
14593,2006-01-18,03783310,AAPL,7,,82.49010,44285867,-0.026207,845617
14593,2006-01-19,03783310,AAPL,7,,79.03500,60724482,-0.041885,845617
14593,2006-01-20,03783310,AAPL,7,,76.08900,40695643,-0.037275,845617
14593,2006-01-23,03783310,AAPL,7,,77.67000,37923846,0.020778,845617
14593,2006-01-24,03783310,AAPL,7,,76.04000,41157605,-0.020986,845617
14593,2006-01-25,03783310,AAPL,7,,74.20000,45632136,-0.024198,848612
14593,2006-01-26,03783310,AAPL,7,,72.33000,42295174,-0.025202,848612
14593,2006-01-27,03783310,AAPL,7,,72.03000,34132263,-0.004148,848612
14593,2006-01-30,03783310,AAPL,7,,75.00000,50628023,0.041233,848612
14593,2006-01-31,03783310,AAPL,7,,75.51000,32711241,0.006800,848612
14593,2006-02-01,03783310,AAPL,7,,75.42000,18706952,-0.001192,849656
14593,2006-02-02,03783310,AAPL,7,,72.10000,25311057,-0.044020,849656
14593,2006-02-03,03783310,AAPL,7,,71.84700,24827164,-0.003509,849656
14593,2006-02-06,03783310,AAPL,7,,67.30000,59086124,-0.063287,849656
14593,2006-02-07,03783310,AAPL,7,,67.60000,49773404,0.004458,849656
14593,2006-02-08,03783310,AAPL,7,,68.81000,34123631,0.017899,849656
14593,2006-02-09,03783310,AAPL,7,,64.95000,41118475,-0.056097,849656
14593,2006-02-10,03783310,AAPL,7,,67.31000,62944380,0.036336,849656
14593,2006-02-13,03783310,AAPL,7,,64.71000,31678328,-0.038627,849656
14593,2006-02-14,03783310,AAPL,7,,67.64500,41505941,0.045356,849656
14593,2006-02-15,03783310,AAPL,7,,69.22000,41466156,0.023283,849656
14593,2006-02-16,03783310,AAPL,7,,70.57000,34109286,0.019503,849656
14593,2006-02-17,03783310,AAPL,7,,70.29000,20616091,-0.003968,849656
14593,2006-02-21,03783310,AAPL,7,,69.08000,27905392,-0.017214,849656
14593,2006-02-22,03783310,AAPL,7,,71.32000,35240256,0.032426,849656
14593,2006-02-23,03783310,AAPL,7,,71.75000,30671782,0.006029,849656
14593,2006-02-24,03783310,AAPL,7,,71.46000,19183205,-0.004042,849656
14593,2006-02-27,03783310,AAPL,7,,70.99000,28302121,-0.006577,849656
14593,2006-02-28,03783310,AAPL,7,,68.49000,45347206,-0.035216,849656
14593,2006-03-01,03783310,AAPL,7,,69.10000,27325381,0.008906,849656
14593,2006-03-02,03783310,AAPL,7,,69.61000,22440760,0.007381,849656
14593,2006-03-03,03783310,AAPL,7,,67.72000,26385532,-0.027151,849656
14593,2006-03-06,03783310,AAPL,7,,65.48000,32656622,-0.033077,849656
14593,2006-03-07,03783310,AAPL,7,,66.31000,31365684,0.012676,849656
14593,2006-03-08,03783310,AAPL,7,,65.66000,23381821,-0.009802,849656
14593,2006-03-09,03783310,AAPL,7,,63.93000,28608756,-0.026348,849656
14593,2006-03-10,03783310,AAPL,7,,63.19000,37276844,-0.011575,848612
14593,2006-03-13,03783310,AAPL,7,,65.68000,30786926,0.039405,848612
14593,2006-03-14,03783310,AAPL,7,,67.32000,22957904,0.024970,848612
14593,2006-03-15,03783310,AAPL,7,,66.23000,32065429,-0.016191,848612
14593,2006-03-16,03783310,AAPL,7,,64.31000,26817190,-0.028990,848612
14593,2006-03-17,03783310,AAPL,7,,64.66000,29080426,0.005442,848612
14593,2006-03-20,03783310,AAPL,7,,63.99000,21659511,-0.010362,848612
14593,2006-03-21,03783310,AAPL,7,,61.81000,48106064,-0.034068,848612
14593,2006-03-22,03783310,AAPL,7,,61.67000,48152990,-0.002265,848612
14593,2006-03-23,03783310,AAPL,7,,60.16000,51115762,-0.024485,848612
